order,mae,rmse,mape
"[3, 0, 3]",11213096789.049898,15173942322.092115,27.185516485183886
"[1, 0, 2]",11185046719.608187,15118350560.222624,27.27304366747755
"[3, 0, 2]",11135147988.187794,14995473565.998066,27.315409031757216
"[3, 0, 1]",11310534561.897032,15267214109.415968,27.50925586267391
"[2, 0, 2]",11401200743.496284,15415504104.193916,27.597445136595113
"[1, 0, 3]",11351840063.801525,15319850738.202347,27.609284878609287
"[2, 0, 3]",11527320049.219332,15630518737.735888,27.77360833538438
"[2, 0, 1]",11650539802.073671,15790970864.89352,27.863631184002642
"[3, 1, 3]",10790139797.047756,14205160533.23414,28.174734341498663
"[1, 1, 1]",11109643796.364597,14430361143.104504,29.55693070617775
"[1, 1, 2]",10934808909.789705,13989243198.18719,30.21641779313421
"[0, 1, 3]",10909322985.120237,13917189891.621292,30.368646082399987
"[1, 0, 1]",13213108888.98638,17742590070.893944,30.478015581851476
"[2, 1, 3]",10891000655.235174,13857977630.116917,30.49938902191331
"[1, 1, 3]",10889446950.724232,13841663644.165237,30.587994307984463
"[2, 1, 1]",10882858542.583967,13821696311.063005,30.59574323189949
"[1, 2, 3]",10917328022.496193,13876671118.542942,30.677923082181348
"[3, 1, 2]",10874687482.769373,13785102729.032,30.702136637571147
"[3, 1, 1]",10870425902.884394,13770067152.396626,30.736656404695704
"[3, 2, 3]",10878669061.475653,13733350303.916584,31.073512858228536
"[2, 2, 2]",10883772772.305046,13728604217.663391,31.13302832643352
"[2, 1, 2]",10850862385.580954,13637435547.970364,31.18531111187827
"[3, 2, 2]",10876312565.197294,13650001205.609402,31.477314099328275
"[0, 1, 2]",10824345525.985525,13551683436.05634,31.478752278209804
"[0, 2, 3]",10835626758.579113,13504939319.945965,32.03292655559803
"[3, 0, 0]",14708887804.57685,19379833983.91135,34.18879168200512
"[0, 1, 1]",11640188566.953796,13423128837.575407,38.63939269795855
"[0, 2, 2]",11891036705.459312,13650326826.170431,40.14595560311207
"[3, 1, 0]",12095587137.13183,13722017485.02781,41.27523213678965
"[2, 0, 0]",17304030340.64094,21888346366.206135,41.462753895881065
"[3, 2, 1]",12297247159.150202,13943308992.753016,42.43966552745595
"[2, 1, 0]",12476246150.991894,14078131697.699692,43.41139678173229
"[2, 2, 1]",12669926005.533152,14327504028.667849,44.529531455582635
"[1, 0, 0]",18830227175.35511,23325134025.35271,45.87912615186627
"[1, 1, 0]",13364836235.920435,15074517209.282526,48.087087291898996
"[1, 2, 1]",13604822011.574884,15399600462.898422,49.33546371159719
"[0, 1, 0]",14626308327.56,16742763725.471043,54.26941881568621
"[2, 2, 3]",14732464314.437952,16929962226.862972,54.850863198973265
"[1, 2, 2]",14902116975.374634,17113804671.8611,55.56581522613357
"[0, 2, 1]",15006200924.6815,17257050162.48967,56.05554738658062
"[0, 0, 3]",23531597442.266937,26709702527.229813,59.13741954393156
"[0, 0, 2]",23976056529.80572,27182438117.81267,59.954409828184886
"[0, 0, 1]",24223533722.70094,27507570310.625015,60.39249956959475
"[0, 0, 0]",24675711302.898182,28021692187.451363,61.20844284300201
"[3, 2, 0]",106537359686.3187,122947662937.65689,374.8339656823929
"[2, 2, 0]",183927511859.9925,211604892540.34366,638.1260249772329
"[1, 2, 0]",290143035730.5984,333314094048.84064,999.0838685995506
"[0, 2, 0]",474517050911.34,544411682362.8135,1625.1718244605606
