source_timestamp,target_timestamp,actual,fuzzy_state,forecast_labels,predicted
2023-02-16,2023-02-17,41358451255.0,A18,"A19, A13, A16, A10, A21, A23, A6, A17",35066329139.610596
2023-02-17,2023-02-18,19625427158.0,A19,A8,20282172611.813156
2023-02-18,2023-02-19,25555105670.0,A8,"A11, A10, A9, A5, A7, A4, A6, A3, A2, A13, A20, A15",21736351942.41618
2023-02-19,2023-02-20,28987376573.0,A11,"A12, A6, A3, A4, A2, A8, A9, A10, A11, A18",20863844344.054367
2023-02-20,2023-02-21,31252098714.0,A12,"A14, A7, A5, A11, A10, A9",22867380310.66298
2023-02-21,2023-02-22,30199996781.0,A14,"A13, A12, A10, A6",24644710603.62224
2023-02-22,2023-02-23,30476264066.0,A13,"A13, A11, A18, A23, A6, A12, A14, A9",30461427926.034348
2023-02-23,2023-02-24,26811744928.0,A13,"A13, A11, A18, A23, A6, A12, A14, A9",30461427926.034348
2023-02-24,2023-02-25,16100721565.0,A11,"A12, A6, A3, A4, A2, A8, A9, A10, A11, A18",20863844344.054367
2023-02-25,2023-02-26,16644534842.0,A6,"A6, A9, A5, A7, A3, A8, A4, A2, A17, A18, A11",20634700934.383583
2023-02-26,2023-02-27,22660763494.0,A6,"A6, A9, A5, A7, A3, A8, A4, A2, A17, A18, A11",20634700934.383583
2023-02-27,2023-02-28,20535363434.0,A9,"A8, A9, A13, A7, A4, A15, A3, A5, A2, A12, A11, A10",20766899055.347492
2023-02-28,2023-03-01,24662841200.0,A8,"A11, A10, A9, A5, A7, A4, A6, A3, A2, A13, A20, A15",21736351942.41618
2023-03-01,2023-03-02,20386398516.0,A10,"A8, A11, A9, A4, A3, A12, A5, A6, A10",19420436712.19655
2023-03-02,2023-03-03,26062404610.0,A8,"A11, A10, A9, A5, A7, A4, A6, A3, A2, A13, A20, A15",21736351942.41618
2023-03-03,2023-03-04,11166012913.0,A11,"A12, A6, A3, A4, A2, A8, A9, A10, A11, A18",20863844344.054367
2023-03-04,2023-03-05,13317001733.0,A3,"A4, A2, A5, A7, A3, A1, A8, A13, A17, A6",17567704528.020836
2023-03-05,2023-03-06,17353192895.0,A4,"A6, A5, A8, A7, A4, A2, A3, A9, A11, A1, A18",17814474353.820137
2023-03-06,2023-03-07,22765452204.0,A6,"A6, A9, A5, A7, A3, A8, A4, A2, A17, A18, A11",20634700934.383583
2023-03-07,2023-03-08,22536575684.0,A9,"A8, A9, A13, A7, A4, A15, A3, A5, A2, A12, A11, A10",20766899055.347492
2023-03-08,2023-03-09,30364664171.0,A9,"A8, A9, A13, A7, A4, A15, A3, A5, A2, A12, A11, A10",20766899055.347492
2023-03-09,2023-03-10,39578257695.0,A13,"A13, A11, A18, A23, A6, A12, A14, A9",30461427926.034348
2023-03-10,2023-03-11,30180288176.0,A18,"A19, A13, A16, A10, A21, A23, A6, A17",35066329139.610596
2023-03-11,2023-03-12,29279035521.0,A13,"A13, A11, A18, A23, A6, A12, A14, A9",30461427926.034348
2023-03-12,2023-03-13,49466362688.0,A13,"A13, A11, A18, A23, A6, A12, A14, A9",30461427926.034348
2023-03-13,2023-03-14,54622230164.0,A23,"A25, A21",49365759223.8737
2023-03-14,2023-03-15,43655701450.0,A25,A20,43549041901.46159
2023-03-15,2023-03-16,33866061747.0,A20,"A15, A18, A8",31269305331.924923
2023-03-16,2023-03-17,50730261335.0,A15,"A24, A10, A8, A16",32885060143.70606
2023-03-17,2023-03-18,35723036817.0,A24,A16,35793418804.91211
2023-03-18,2023-03-19,37769448859.0,A16,"A17, A15, A13, A18",35308692361.37777
2023-03-19,2023-03-20,44774027664.0,A17,"A21, A9, A14",33208211106.062286
2023-03-20,2023-03-21,36102192830.0,A21,"A16, A11, A13, A20",33854513030.774742
2023-03-21,2023-03-22,33382021890.0,A16,"A17, A15, A13, A18",35308692361.37777
2023-03-22,2023-03-23,24220433689.0,A15,"A24, A10, A8, A16",32885060143.70606
2023-03-23,2023-03-24,25980310960.0,A10,"A8, A11, A9, A4, A3, A12, A5, A6, A10",19420436712.19655
2023-03-24,2023-03-25,13383005987.0,A11,"A12, A6, A3, A4, A2, A8, A9, A10, A11, A18",20863844344.054367
2023-03-25,2023-03-26,13878363192.0,A4,"A6, A5, A8, A7, A4, A2, A3, A9, A11, A1, A18",17814474353.820137
2023-03-26,2023-03-27,18188895178.0,A5,"A7, A6, A3, A8, A4, A5, A2, A10, A14, A1, A9",16933153547.394062
