parameters,window_size,mae,mse,rmse,mape
{'window_size': 14},14,12765367440.147694,2.1411326909062034e+20,14632609783.993433,38.47554240793798
{'window_size': 7},7,12432526009.090424,2.1863573748124418e+20,14786336175.038229,36.02567501522517
{'window_size': 13},13,12894159047.586546,2.2050545307961652e+20,14849426018.523966,38.723739567702204
{'window_size': 2},2,12679304070.510223,2.2085325341957557e+20,14861132306.1056,37.09236492621139
{'window_size': 3},3,12788766305.058025,2.233761318781844e+20,14945773043.847025,37.48039501273095
{'window_size': 12},12,12979626665.560888,2.2603247173839097e+20,15034376333.53612,38.74782601078054
{'window_size': 4},4,13066710033.655584,2.3103502619688167e+20,15199836387.174753,38.404414419314406
{'window_size': 8},8,13091542418.661743,2.313738646008569e+20,15210978423.522167,38.75462291241919
{'window_size': 11},11,13288230915.060955,2.345875759455085e+20,15316252020.174795,39.75866731325151
{'window_size': 9},9,13337331618.660456,2.3618009443245385e+20,15368151952.412947,39.86739329315604
{'window_size': 6},6,12993549082.831293,2.3625426696514558e+20,15370564952.69922,37.684617676586875
{'window_size': 10},10,13348972819.764746,2.362961882916609e+20,15371928580.74942,39.936902756391376
{'window_size': 5},5,13166069850.657818,2.3651039074286227e+20,15378894327.709723,38.5562782226987
