parameters,window_size,mae,mse,rmse,mape
{'window_size': 14},14,23953367036.726395,6.090740392662744e+20,24679425424.151886,118.27648300449512
{'window_size': 13},13,24791097846.32334,6.43368325286193e+20,25364706292.133427,122.64890927106948
{'window_size': 7},7,24782572584.7098,6.586632690014416e+20,25664435879.27546,125.0613059116551
{'window_size': 2},2,25091159465.223274,6.684761320215698e+20,25854905376.380123,120.47142722972491
{'window_size': 11},11,25557371536.96348,6.866107434381304e+20,26203258259.959396,127.40688934209375
{'window_size': 10},10,25501553775.06981,6.868898453016503e+20,26208583427.985004,127.47386450396552
{'window_size': 12},12,25691646299.956875,6.918597750734552e+20,26303227464.960552,127.87353062138595
{'window_size': 8},8,25665710629.597496,6.974418166708256e+20,26409123739.170628,128.4691909416965
{'window_size': 9},9,25716745457.27134,7.002706139456272e+20,26462626739.3399,128.70618708449268
{'window_size': 6},6,26116850754.97943,7.223721663933772e+20,26876982092.366272,130.78401312094462
{'window_size': 3},3,27933143329.320976,8.075076794642512e+20,28416679599.56355,135.9186321283718
{'window_size': 4},4,28003082865.969383,8.140397425832421e+20,28531381715.284,137.94570232407645
{'window_size': 5},5,28200068436.616417,8.275103036964956e+20,28766478819.91287,139.37220245472815
