parameters,order,seasonal_order,mae,rmse,mape
"{'p': 0, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 0]","[1, 0, 1, 7]",10976910270.237223,12339345358.609549,33.98419994706235
"{'p': 0, 'd': 0, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 1]","[1, 0, 1, 7]",10933660843.185467,12598775358.996813,33.33106460395707
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 1]","[0, 0, 1, 7]",11709448416.153515,14083832366.240509,33.591614217289255
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 1]","[0, 0, 1, 7]",11774779603.826849,14141695806.88107,33.81306878409283
"{'p': 1, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 0, 0]","[1, 0, 1, 7]",13338319464.751091,14682265931.666403,42.03451534518405
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 1]","[0, 0, 0, 7]",12573468651.010517,14771640275.171291,36.74071123699637
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 1]","[0, 0, 0, 7]",12923923451.972332,15125836782.440058,37.82826826929444
"{'p': 1, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 0]","[0, 0, 0, 7]",13265611427.03631,15543228687.524397,38.73427974245988
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 1]","[1, 0, 0, 7]",13395741134.909206,15559217565.697218,39.63117645011579
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 1]","[0, 0, 0, 7]",13315598252.005148,15592920750.357956,38.89224294557982
"{'p': 0, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 0, 0]","[1, 0, 0, 7]",13739222169.031446,15605122136.411709,42.15173377710567
"{'p': 2, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 0, 0]","[1, 0, 1, 7]",14272106176.189184,15638892224.849073,45.197370949372456
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 1]","[1, 0, 0, 7]",13679627130.166285,15821030655.836613,40.647424470834835
"{'p': 2, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 0]","[0, 0, 0, 7]",13576117605.457964,15832359568.571306,39.757196985776744
"{'p': 2, 'd': 0, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 0, 1]","[1, 0, 1, 7]",14521533595.650412,15942158976.655872,45.92609898133196
"{'p': 1, 'd': 0, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 0, 1]","[1, 0, 1, 7]",14545323267.037638,15958551479.94193,46.04968709046409
"{'p': 1, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 0]","[0, 0, 1, 7]",13719330666.258884,16038502207.53732,40.332813462353926
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 1]","[0, 0, 1, 7]",13900531458.915247,16199908649.198603,40.94840950711781
"{'p': 2, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 0]","[0, 0, 1, 7]",14124046254.21165,16366405144.247301,41.82698091143456
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 1]","[1, 0, 1, 7]",15219270894.668772,16667039659.309086,48.43122432392686
"{'p': 0, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 0]","[0, 0, 1, 7]",14448899985.731802,16691743655.378967,42.90488321927398
"{'p': 0, 'd': 0, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 0, 1]","[1, 0, 0, 7]",14882263532.127161,16798138013.887745,45.787688023045256
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 1]","[1, 0, 1, 7]",15434703821.60057,16887407983.943392,49.060889652876035
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 1]","[1, 0, 1, 7]",15782328256.582111,17196468938.96512,50.60318997705585
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 1]","[1, 0, 0, 7]",15257094667.031143,17333177978.32696,46.20123108004407
