parameters,order,seasonal_order,mae,rmse,mape
"{'p': 2, 'd': 0, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 0, 1]","[1, 0, 1, 7]",0.002748295600274453,0.0036343527727451326,0.25498443183250774
"{'p': 0, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 0]","[0, 0, 1, 7]",0.00312927280437898,0.003869388249114068,0.2905089386843023
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 1]","[0, 0, 1, 7]",0.0031748402707812984,0.00387430593398328,0.2947784768444794
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 1]","[1, 0, 1, 7]",0.0031721144758034337,0.003876557925510398,0.29452158019857644
"{'p': 1, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 0]","[0, 0, 1, 7]",0.003182406909950708,0.0038794040140361047,0.29548359201141877
"{'p': 0, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 2]","[0, 0, 1, 7]",0.0031948277203183383,0.0038801736163518873,0.2966501209944904
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 1]","[0, 0, 0, 7]",0.0031686877403651835,0.0038811640621617097,0.29419808974625633
"{'p': 1, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 0]","[1, 0, 1, 7]",0.003179842500429486,0.003881656056194176,0.2952418123101843
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 1]","[0, 0, 1, 7]",0.003193544947066207,0.0038817378618848522,0.29652698935453986
"{'p': 0, 'd': 1, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 2]","[1, 0, 1, 7]",0.0031921842864301555,0.0038822788150943677,0.2964009313186071
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 1]","[1, 0, 1, 7]",0.0031909727852976965,0.0038839053319080375,0.29628447457746715
"{'p': 1, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 0]","[0, 0, 0, 7]",0.0031768166073909755,0.0038863272205715304,0.2949558704181201
"{'p': 0, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 2]","[0, 0, 0, 7]",0.0031888971987474425,0.0038867051913072095,0.29609043202834184
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 1]","[0, 0, 0, 7]",0.003187860769677875,0.003888451142959523,0.29599040837216134
"{'p': 2, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 0]","[0, 0, 1, 7]",0.0032197666242262503,0.0038884524955019005,0.298984617740731
"{'p': 2, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 0]","[1, 0, 1, 7]",0.0032171290413458564,0.0038903829829926625,0.29873595868576014
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 1]","[0, 0, 1, 7]",0.003228650209444939,0.0038918330241460774,0.2998153035327741
"{'p': 0, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 0]","[1, 0, 1, 7]",0.003116446817723184,0.003893353672238756,0.28929691257105666
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 1]","[1, 0, 1, 7]",0.003226029408786313,0.0038937136169950697,0.2995682088625433
"{'p': 2, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 0]","[0, 0, 0, 7]",0.003213800210734985,0.0038945683045273766,0.2984214363741303
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 1]","[0, 0, 0, 7]",0.003222694798916659,0.0038978356727524172,0.2992531123057687
"{'p': 1, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 2]","[0, 0, 0, 7]",0.0032332213114610433,0.0039002481304518605,0.30023789163711306
"{'p': 2, 'd': 1, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 2]","[1, 0, 1, 7]",0.0032311370235288185,0.0039019634591487993,0.3000391799056393
