parameters,order,seasonal_order,mae,rmse,mape
"{'p': 0, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 0]","[1, 0, 1, 7]",10976910270.237223,12339345358.609549,33.98419994706235
"{'p': 0, 'd': 0, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 1]","[1, 0, 1, 7]",10933660843.185467,12598775358.996813,33.33106460395707
"{'p': 0, 'd': 0, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 2]","[1, 0, 1, 7]",11814759433.1462,13327376469.622524,36.41920005736689
"{'p': 1, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 2]","[0, 0, 1, 7]",11546531690.216284,13885334879.370125,33.16216784677013
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 1]","[0, 0, 1, 7]",11709448416.153515,14083832366.240509,33.591614217289255
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 1]","[0, 0, 1, 7]",11774779609.57737,14141695813.392075,33.81306880050509
"{'p': 1, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 2]","[0, 0, 0, 7]",12410856794.917484,14576756785.447752,36.30982868253434
"{'p': 1, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 0, 0]","[1, 0, 1, 7]",13338319464.751091,14682265931.666405,42.03451534518405
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 1]","[0, 0, 0, 7]",12573468650.638441,14771640274.747082,36.74071123594819
"{'p': 0, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 2]","[0, 0, 0, 7]",12606682480.543802,14797520409.731121,36.864505361669636
"{'p': 2, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 2]","[0, 0, 0, 7]",12369840162.961147,14829827487.348232,35.54997478167588
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 1]","[0, 0, 0, 7]",12923923451.972332,15125836782.440058,37.82826826929444
"{'p': 2, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 2]","[0, 0, 1, 7]",12954238363.653881,15377219823.476255,38.93989791517606
"{'p': 2, 'd': 0, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 0, 2]","[0, 0, 1, 7]",12992165955.553944,15382537020.630571,37.70776895823869
"{'p': 0, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 2]","[0, 0, 1, 7]",13048939015.524683,15399440131.374275,37.971348389849716
"{'p': 1, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 0]","[0, 0, 0, 7]",13265611427.03631,15543228687.524397,38.73427974245988
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 1]","[1, 0, 0, 7]",13395741137.288015,15559217567.380194,39.63117646011379
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 1]","[0, 0, 0, 7]",13315598252.005148,15592920750.357956,38.89224294557982
"{'p': 0, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 0, 0]","[1, 0, 0, 7]",13739222169.031446,15605122136.411709,42.15173377710567
"{'p': 2, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 0, 0]","[1, 0, 1, 7]",14272106189.202662,15638892238.128767,45.197370992782666
"{'p': 1, 'd': 1, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 2]","[1, 0, 0, 7]",13594320905.673786,15744352422.811604,40.32872504884571
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 1]","[1, 0, 0, 7]",13679627130.568737,15821030656.309586,40.64742447201096
"{'p': 2, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 0]","[0, 0, 0, 7]",13576117605.457964,15832359568.571306,39.757196985776744
"{'p': 1, 'd': 0, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 0, 2]","[0, 0, 0, 7]",13557744145.368343,15870330917.44883,39.61146979674065
"{'p': 2, 'd': 0, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 0, 2]","[0, 0, 0, 7]",13565595096.549845,15876706536.047443,39.64005628790342
