parameters,order,seasonal_order,mae,rmse,mape
"{'p': 2, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 2]","[0, 1, 0, 7]",361.707572824013,438.2013245449897,7.036536673206613
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 1]","[0, 1, 0, 7]",369.1189581387921,444.76126721583734,7.185958767341299
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 1]","[0, 1, 0, 7]",369.0023014921388,444.83171485393717,7.1832423917198875
"{'p': 1, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 0]","[0, 1, 0, 7]",369.1377390027266,444.95975558293173,7.1859576465751545
"{'p': 2, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 0]","[0, 1, 0, 7]",371.31076398286405,447.0563564416991,7.229258884991404
"{'p': 0, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 2]","[0, 1, 0, 7]",371.3603559036004,447.1318629944595,7.230135665279905
"{'p': 1, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 2]","[0, 1, 0, 7]",371.37837812412346,447.35278349344003,7.230178759624947
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 1]","[0, 1, 0, 7]",375.01999225574974,450.4731558854481,7.303932486294987
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 1]","[1, 1, 0, 7]",389.34069387081524,482.1370675143354,7.554131768023721
"{'p': 2, 'd': 1, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 2]","[1, 1, 0, 7]",388.5521095040948,482.1387745845026,7.5367885156364505
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 1]","[1, 1, 0, 7]",390.59001351885337,483.1617614842843,7.579489036966105
"{'p': 1, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 0]","[1, 1, 0, 7]",390.6413608789927,483.20651788473,7.580525313268939
"{'p': 1, 'd': 1, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 2]","[1, 1, 0, 7]",390.9973793307178,483.6321058563417,7.587395352586168
"{'p': 2, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 0]","[1, 1, 0, 7]",391.13597572804264,483.70774075031187,7.590277712359576
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 1]","[1, 1, 0, 7]",391.1200278658604,483.74000479179085,7.589866958131716
"{'p': 0, 'd': 1, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 2]","[1, 1, 0, 7]",391.2305239639944,483.811384442963,7.592118777366327
"{'p': 0, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 1, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 0]","[1, 1, 0, 7]",392.21588578798674,484.59688705418125,7.612239533023875
"{'p': 2, 'd': 0, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 1, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 0, 1]","[1, 1, 1, 7]",435.7882771466657,522.2548458114705,8.484276238265846
"{'p': 1, 'd': 0, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 1, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 0, 2]","[0, 1, 1, 7]",439.63461264320006,526.1494049425521,8.560693147518508
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 1, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 1]","[0, 1, 1, 7]",441.1283456199409,527.4958018785394,8.59076652962955
"{'p': 1, 'd': 0, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 1, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 0, 0]","[0, 1, 1, 7]",441.3538841945645,527.6514099123854,8.595418893739879
"{'p': 2, 'd': 0, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 1, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 0, 0]","[0, 1, 1, 7]",441.3428575061756,527.7149094700409,8.595024864643946
"{'p': 1, 'd': 0, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 1, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 0, 1]","[0, 1, 1, 7]",441.34107548803087,527.725899462386,8.594959437727736
"{'p': 2, 'd': 0, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 1, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 0, 2]","[0, 1, 1, 7]",441.6239890508581,527.8175458543604,8.60103206737176
"{'p': 1, 'd': 0, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 1, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 0, 2]","[1, 1, 1, 7]",441.24847076847874,528.1319627587591,8.591944960669506
"{'p': 2, 'd': 0, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 1, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 0, 1]","[0, 1, 1, 7]",442.2057100822561,528.3275154366582,8.612783045201382
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 1, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 1]","[1, 1, 1, 7]",441.81642336222666,528.4202874848593,8.603901739538097
"{'p': 2, 'd': 0, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 1, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 0, 2]","[1, 1, 1, 7]",442.78911386041074,529.2817117170291,8.62351687308899
"{'p': 1, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 1, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 0, 0]","[1, 1, 1, 7]",442.8649575454424,529.5102743268278,8.624672040495849
"{'p': 1, 'd': 0, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 1, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 0, 1]","[1, 1, 1, 7]",443.09779435415237,529.8196696925925,8.62912654200729
"{'p': 2, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 1, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 0, 0]","[1, 1, 1, 7]",443.1205333983562,529.8368203363792,8.62959214810611
"{'p': 2, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 0, 0]","[1, 0, 1, 7]",450.7842588096397,537.9935819432407,8.780974064147365
"{'p': 2, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 0, 0]","[1, 0, 0, 7]",458.0506809638209,539.1836729177484,8.943328047150278
"{'p': 2, 'd': 0, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 0, 2]","[0, 0, 0, 7]",452.4295498405901,540.1600813524585,8.812479389009402
"{'p': 2, 'd': 0, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 0, 1]","[0, 0, 0, 7]",452.5724471775746,540.260492704294,8.8154220702724
"{'p': 1, 'd': 0, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 0, 2]","[0, 0, 0, 7]",452.85067130381947,540.4699835730457,8.821137509305247
"{'p': 1, 'd': 0, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 0, 1]","[0, 0, 0, 7]",453.52965693826343,541.017162854403,8.834964280234637
"{'p': 2, 'd': 0, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 0, 0]","[0, 0, 0, 7]",453.54758664517095,541.0306444763108,8.835331633609016
