parameters,order,seasonal_order,mae,rmse,mape
"{'p': 0, 'd': 0, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 2]","[0, 0, 1, 7]",9934828712.091436,13388887735.811312,39.46551244642859
"{'p': 0, 'd': 0, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 1]","[0, 0, 1, 7]",13941410486.06364,15625555378.650131,59.64499244834228
"{'p': 0, 'd': 0, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 2]","[1, 0, 1, 7]",15850300405.850367,16849388496.30945,76.24496647379885
"{'p': 0, 'd': 0, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 0, 2]","[1, 0, 0, 7]",14645603202.27337,17773488471.206226,72.79231567044248
"{'p': 1, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 0, 0]","[1, 0, 1, 7]",17551427785.967213,18064580010.297134,81.22577156184292
"{'p': 0, 'd': 0, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 1]","[1, 0, 1, 7]",16320826075.661356,18216521857.25707,78.27338093308416
"{'p': 0, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 0]","[1, 0, 1, 7]",16574887288.644156,19127038235.899334,78.37433684236275
"{'p': 0, 'd': 0, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 0, 1]","[1, 0, 0, 7]",15726294020.262707,19210244343.626175,76.54130107918229
"{'p': 0, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 0, 0]","[1, 0, 0, 7]",15751587323.3331,19785929024.620457,74.64472075655512
"{'p': 0, 'd': 0, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 0]","[0, 0, 1, 7]",19194557215.301483,20062665374.682816,84.07532588385361
