parameters,order,seasonal_order,mae,rmse,mape
"{'p': 1, 'd': 0, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 0, 2]","[1, 0, 1, 7]",0.003255292460746495,0.0037053047270168516,0.30257290848069207
"{'p': 0, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 0]","[0, 0, 1, 7]",0.0032034535411122,0.0037957082664600177,0.2975085072976184
"{'p': 0, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 0]","[1, 0, 1, 7]",0.003195581008575643,0.0038000183258844835,0.2967654721896899
"{'p': 1, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 0]","[0, 0, 1, 7]",0.0032622077738562625,0.0038198450877454052,0.3030155527474341
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 1]","[0, 0, 1, 7]",0.003269884362017561,0.003822424348614748,0.30373914579829947
"{'p': 1, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 0]","[1, 0, 1, 7]",0.003254758586895745,0.0038226766038506315,0.30231218388201986
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 1]","[1, 0, 1, 7]",0.003262354990979932,0.003824859516283261,0.3030282909616097
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 1]","[0, 0, 1, 7]",0.0032744383001456433,0.003825831902920873,0.3041626354999798
"{'p': 0, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 2]","[0, 0, 1, 7]",0.0032745855651476587,0.0038259742613758175,0.3041795120238032
"{'p': 0, 'd': 1, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 2]","[1, 0, 1, 7]",0.003266935082600941,0.0038282518740669577,0.30345729841257246
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 1]","[1, 0, 1, 7]",0.0032669693855700067,0.0038282967134740647,0.3034574187971611
"{'p': 1, 'd': 1, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 2]","[1, 0, 1, 7]",0.003279876302689955,0.003831203590527376,0.3046708269237038
"{'p': 0, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 0]","[1, 0, 0, 7]",0.003154115379442124,0.003837278678291828,0.2928539103938797
"{'p': 2, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 0]","[0, 0, 1, 7]",0.003297537531489603,0.0038390390778807594,0.30633019327731104
"{'p': 2, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 0]","[1, 0, 1, 7]",0.003290036826566034,0.003840792369523601,0.30562201239113695
"{'p': 2, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 2]","[0, 0, 1, 7]",0.0032952498361787487,0.003841025587144951,0.3061093009715257
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 1]","[0, 0, 1, 7]",0.003306610653981612,0.003844164335495951,0.3071790346278517
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 1]","[1, 0, 1, 7]",0.003299164150309175,0.0038457427523809575,0.30647592917926725
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 1]","[1, 0, 0, 7]",0.0032120869898828452,0.0038499405927937724,0.29828651388872063
"{'p': 0, 'd': 1, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 2]","[1, 0, 0, 7]",0.0032187765850235197,0.0038531677939183354,0.2989129474126859
"{'p': 1, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 0]","[1, 0, 0, 7]",0.0032132906359740422,0.0038571194917049827,0.2983930642838666
