Date,Open,High,Low,Close,Adj Close,Volume
2023-02-16,24.307.349.609,25.134.117.188,23.602.523.438,23.623.474.609,23.623.474.609,39316664596
2023-02-17,23.621.283.203,24.924.041.016,23.460.755.859,24.565.601.563,24.565.601.563,41358451255
2023-02-18,24.565.296.875,24.798.835.938,24.468.373.047,24.641.277.344,24.641.277.344,19625427158
2023-02-19,24.640.027.344,25.093.054.688,24.327.642.578,24.327.642.578,24.327.642.578,25555105670
2023-02-20,24.336.623.047,25.020.458.984,23.927.910.156,24.829.148.438,24.829.148.438,28987376573
2023-02-21,24.833.048.828,25.126.851.563,24.200.363.281,24.436.353.516,24.436.353.516,31252098714
2023-02-22,24.437.417.969,24.472.339.844,23.644.318.359,24.188.843.750,24.188.843.750,30199996781
2023-02-23,24.190.718.750,24.572.089.844,23.693.919.922,23.947.492.188,23.947.492.188,30476264066
2023-02-24,23.946.007.813,24.103.705.078,23.007.072.266,23.198.126.953,23.198.126.953,26811744928
2023-02-25,23.200.125.000,23.210.210.938,22.861.558.594,23.175.375.000,23.175.375.000,16100721565
2023-02-26,23.174.150.391,23.654.367.188,23.084.220.703,23.561.212.891,23.561.212.891,16644534842
2023-02-27,23.561.451.172,23.857.890.625,23.205.878.906,23.522.871.094,23.522.871.094,22660763494
2023-02-28,23.521.837.891,23.585.384.766,23.077.650.391,23.147.353.516,23.147.353.516,20535363434
2023-03-01,23.150.929.688,23.880.632.813,23.088.626.953,23.646.550.781,23.646.550.781,24662841200
2023-03-02,23.647.019.531,23.739.138.672,23.245.021.484,23.475.466.797,23.475.466.797,20386398516
2023-03-03,23.476.632.813,23.479.347.656,22.213.238.281,22.362.679.688,22.362.679.688,26062404610
2023-03-04,22.362.923.828,22.405.177.734,22.198.980.469,22.353.349.609,22.353.349.609,11166012913
2023-03-05,22.354.144.531,22.613.685.547,22.307.142.578,22.435.513.672,22.435.513.672,13317001733
2023-03-06,22.436.816.406,22.584.292.969,22.331.314.453,22.429.757.813,22.429.757.813,17353192895
2023-03-07,22.428.322.266,22.527.417.969,22.011.261.719,22.219.769.531,22.219.769.531,22765452204
2023-03-08,22.216.441.406,22.268.896.484,21.708.050.781,21.718.080.078,21.718.080.078,22536575684
2023-03-09,21.720.080.078,21.802.716.797,20.210.306.641,20.363.021.484,20.363.021.484,30364664171
2023-03-10,20.367.001.953,20.370.595.703,19.628.253.906,20.187.244.141,20.187.244.141,39578257695
2023-03-11,20.187.876.953,20.792.525.391,20.068.660.156,20.632.410.156,20.632.410.156,30180288176
2023-03-12,20.628.029.297,22.185.031.250,20.448.806.641,22.163.949.219,22.163.949.219,29279035521
2023-03-13,22.156.406.250,24.550.837.891,21.918.199.219,24.197.533.203,24.197.533.203,49466362688
2023-03-14,24.201.765.625,26.514.716.797,24.081.183.594,24.746.074.219,24.746.074.219,54622230164
2023-03-15,24.770.925.781,25.240.615.234,23.964.910.156,24.375.960.938,24.375.960.938,43655701450
2023-03-16,24.373.457.031,25.190.326.172,24.225.111.328,25.052.789.063,25.052.789.063,33866061747
2023-03-17,25.055.123.047,27.787.812.500,24.955.169.922,27.423.929.688,27.423.929.688,50730261335
2023-03-18,27.448.117.188,27.725.953.125,26.636.261.719,26.965.878.906,26.965.878.906,35723036817
2023-03-19,26.969.503.906,28.440.560.547,26.907.716.797,28.038.675.781,28.038.675.781,37769448859
2023-03-20,28.041.601.563,28.527.724.609,27.242.880.859,27.767.236.328,27.767.236.328,44774027664
2023-03-21,27.768.392.578,28.439.562.500,27.439.646.484,28.175.816.406,28.175.816.406,36102192830
2023-03-22,28.158.720.703,28.803.335.938,26.759.996.094,27.307.437.500,27.307.437.500,33382021890
2023-03-23,27.301.957.031,28.729.843.750,27.183.363.281,28.333.972.656,28.333.972.656,24220433689
2023-03-24,28.324.111.328,28.388.437.500,27.039.265.625,27.493.285.156,27.493.285.156,25980310960
2023-03-25,27.487.337.891,27.791.826.172,27.196.234.375,27.494.707.031,27.494.707.031,13383005987
2023-03-26,27.495.523.438,28.178.144.531,27.445.046.875,27.994.330.078,27.994.330.078,13878363192
2023-03-27,27.994.068.359,28.037.925.781,26.606.689.453,27.139.888.672,27.139.888.672,18188895178
2023-03-28,27.132.888.672,27.460.718.750,26.677.818.359,27.268.130.859,27.268.130.859,17783600385
2023-03-29,27.267.031.250,28.619.542.969,27.259.662.109,28.348.441.406,28.348.441.406,20684945906
2023-03-30,28.350.140.625,29.159.902.344,27.720.160.156,28.033.562.500,28.033.562.500,22435349951
2023-03-31,28.032.261.719,28.639.896.484,27.583.714.844,28.478.484.375,28.478.484.375,19001327598
2023-04-01,28.473.332.031,28.802.457.031,28.297.171.875,28.411.035.156,28.411.035.156,10876469901
