date,open,high,low,close,volume
2024-01-02,1.09875,1.10914,1.08663,1.10062,99619.0
2024-01-03,1.08951,1.11115,1.08293,1.10575,108539.0
2024-01-04,1.10372,1.12032,1.09041,1.10595,155964.0
2024-01-05,1.10005,1.11809,1.08444,1.1033,113508.0
2024-01-08,1.10676,1.12575,1.09074,1.09986,96631.0
2024-01-09,1.10217,1.11774,1.09195,1.09803,82295.0
2024-01-10,1.0996,1.11079,1.07829,1.09397,89432.0
2024-01-11,1.0982,1.11255,1.07635,1.09155,70921.0
2024-01-12,1.08485,1.09706,1.07966,1.09123,72817.0
2024-01-15,1.09238,1.10192,1.07344,1.0962,95785.0
2024-01-16,1.10487,1.11876,1.07998,1.09542,148542.0
2024-01-17,1.09616,1.11083,1.08108,1.09395,92860.0
2024-01-18,1.09453,1.10276,1.09095,1.09425,130072.0
2024-01-19,1.09586,1.11722,1.08308,1.09879,111861.0
2024-01-22,1.10605,1.11135,1.0856,1.09384,147524.0
2024-01-23,1.09412,1.10839,1.08241,1.09297,71378.0
2024-01-24,1.10405,1.12292,1.07539,1.09039,110406.0
2024-01-25,1.09847,1.10758,1.07794,1.08908,102427.0
2024-01-26,,1.10788,1.07944,1.08879,113698.0
2024-01-29,1.08991,1.09857,1.07225,1.08751,95742.0
2024-01-30,1.09557,1.11276,1.06804,1.08427,121591.0
2024-01-31,1.09058,1.09967,1.07559,1.08022,80278.0
2024-02-01,1.07819,1.09068,1.07263,1.0798,70875.0
2024-02-02,1.08359,1.09688,1.07225,1.08184,88476.0
2024-02-05,1.08029,1.09136,1.06694,1.0844,108228.0
2024-02-06,1.08157,1.09806,1.06788,1.08443,122648.0
2024-02-07,1.09157,1.1023,1.08093,1.08583,82797.0
2024-02-08,1.08417,1.09343,1.07987,1.08705,137664.0
2024-02-09,1.08751,1.09536,1.07853,1.08444,149314.0
2024-02-12,1.08537,1.1016,1.07426,1.08577,110098.0
2024-02-13,1.08641,1.09424,1.07408,1.08273,82237.0
2024-02-14,1.08499,1.09158,1.07839,1.08178,71690.0
2024-02-15,1.08131,1.09541,1.06658,1.07568,103618.0
2024-02-16,1.07026,1.09024,1.06221,1.07354,92589.0
2024-02-19,1.0731,1.09009,1.0634,1.07771,133552.0
2024-02-20,1.08046,1.09542,1.06191,1.07689,
2024-02-21,1.07016,1.08499,1.05743,1.07567,125123.0
2024-02-22,1.06872,1.08478,1.05983,1.07534,136112.0
2024-02-23,1.07226,1.09381,1.06323,1.07652,149978.0
2024-02-26,1.07127,1.08565,1.05838,1.07972,133760.0
2024-02-27,1.07544,1.09986,1.07021,1.08215,140785.0
